Team,ELO
Georgia,1764.2
Michigan,1743.3999999999999
Alabama,1724.3666666666668
Oregon,1709.7
Ohio State,1697.9333333333334
Penn State,1688.2666666666667
Texas,1687.3999999999999
LSU,1678.7666666666667
Washington,1676.3
Clemson,1669.9333333333334
Tennessee,1668.9333333333334
Notre Dame,1668.8666666666668
Kansas State,1649.3333333333333
Ole Miss,1632.0333333333335
Florida State,1631.2333333333333
Tulane,1621.0
Missouri,1612.3999999999999
Utah,1609.4666666666665
Iowa,1608.8999999999999
USC,1607.9333333333334
Texas Tech,1603.0333333333335
Oklahoma,1592.4333333333334
SMU,1592.4333333333334
James Madison,1591.7333333333333
Liberty,1588.9666666666665
Louisville,1587.9333333333334
Boise State,1587.7666666666667
Oregon State,1585.9666666666665
Troy,1581.5333333333335
Texas A&M,1580.8666666666668
TCU,1575.0333333333335
Duke,1570.2666666666667
North Carolina State,1569.2
Miami (FL),1568.1000000000001
Arizona,1566.8333333333333
Wisconsin,1566.4666666666665
Fresno State,1561.5666666666666
Oklahoma State,1561.1666666666667
UTSA,1560.1000000000001
Memphis,1558.6000000000001
Toledo,1557.2
Ohio,1553.9666666666665
BYU,1553.5333333333335
Kentucky,1552.7333333333333
South Carolina,1552.5
Pitt,1551.1333333333332
Maryland,1546.0
Western Kentucky,1545.0
Iowa State,1544.5
Minnesota,1543.0333333333335
Coastal Carolina,1542.9666666666665
West Virginia,1538.9666666666665
Arkansas,1537.4666666666665
North Carolina,1537.2333333333333
Army,1535.8
Illinois,1532.0
Georgia Tech,1528.8
UCLA,1525.6000000000001
Jacksonville State,1521.75
UCF,1520.5
Air Force,1518.9333333333334
Florida,1518.3333333333333
South Alabama,1515.9666666666665
Miami (OH),1513.3
San Jose State,1512.1000000000001
Nebraska,1511.4666666666665
Washington State,1510.5
Marshall,1506.8666666666668
Auburn,1506.6666666666667
Syracuse,1504.9333333333334
Mississippi State,1504.8999999999999
UNLV,1501.2666666666667
Appalachian State,1501.1000000000001
Eastern Michigan,1500.8
Kansas,1499.9666666666665
North Texas,1496.0666666666666
Cincinnati,1496.0666666666666
Wyoming,1495.3
Virginia Tech,1493.9333333333334
Michigan State,1488.3333333333333
Texas State,1487.0666666666666
Louisiana,1484.8333333333333
New Mexico State,1484.7333333333333
Rutgers,1484.2666666666667
Navy,1480.6000000000001
Boston College,1480.5333333333335
Houston,1479.9333333333334
Buffalo,1477.0333333333335
Wake Forest,1475.3999999999999
Purdue,1472.9333333333334
California,1472.2333333333333
Northwestern,1469.4333333333334
Georgia Southern,1469.2
Bowling Green,1464.0333333333335
Indiana,1462.3999999999999
Arizona State,1460.1666666666667
Sam Houston,1457.9
Georgia State,1457.6666666666667
Northern Illinois,1455.7666666666667
Baylor,1455.5
Connecticut,1454.8999999999999
San Diego State,1453.6666666666667
Vanderbilt,1452.3666666666668
Virginia,1448.8333333333333
East Carolina,1447.7666666666667
Colorado,1444.0
Western Michigan,1443.8666666666668
Utah State,1443.7666666666667
Middle Tennessee,1441.5
UAB,1436.6000000000001
Colorado State,1433.8999999999999
Old Dominion,1432.8
Central Michigan,1431.0
Rice,1426.7
Arkansas State,1426.1333333333332
ULM,1426.0
Tulsa,1425.6333333333332
Ball State,1422.0
Southern Miss,1419.2
South Florida,1412.7
FAU,1409.3333333333333
Stanford,1407.8
Hawaii,1401.7
Charlotte,1397.8666666666668
UTEP,1380.4333333333334
New Mexico,1377.1333333333332
FIU,1376.5
Louisiana Tech,1370.0
Nevada,1368.0333333333335
Temple,1364.8666666666668
Kent State,1355.7666666666667
UMass,1330.5
Akron,1324.9333333333334
Kennesaw State,1320.7
